Time,Name,Color,Mean_gray,Gray
440,NNN157D,purple,124.99166666666666,"[117.96, 141.62, 164.42, 91.11, 116.55, 118.29]"
445,NNN157D,purple,124.815,"[117.59, 141.4, 164.96, 91.11, 116.34, 117.49]"
445,mrfp1,red,147.8033333333333,"[146.99, 145.92, 150.5]"
450,mrfp1,red,147.43999999999997,"[146.34, 145.95, 150.03]"
450,NNN157D,purple,124.86166666666668,"[117.17, 141.06, 164.77, 91.05, 117.18, 117.94]"
455,mrfp1,red,147.74666666666667,"[147.12, 145.95, 150.17]"
455,NNN157D,purple,124.62833333333332,"[117.05, 140.54, 164.5, 90.75, 116.89, 118.04]"
460,mrfp1,red,147.21333333333334,"[146.4, 145.67, 149.57]"
460,NNN157D,purple,124.90666666666664,"[117.38, 141.22, 164.42, 91.46, 116.8, 118.16]"
465,NNN157D,purple,124.97499999999998,"[117.52, 142.51, 165.12, 90.64, 116.12, 117.94]"
465,mrfp1,red,147.58666666666667,"[146.96, 145.51, 150.29]"
470,mrfp1,red,147.73666666666665,"[146.61, 146.17, 150.43]"
470,NNN157D,purple,124.71666666666668,"[117.05, 141.96, 164.7, 89.91, 116.81, 117.87]"
475,mrfp1,red,147.5,"[147.35, 145.23, 149.92]"
475,NNN157D,purple,125.03333333333336,"[116.86, 142.11, 165.24, 90.96, 117.02, 118.01]"
480,mrfp1,red,147.50333333333333,"[147.22, 145.57, 149.72]"
480,NNN157D,purple,124.95166666666668,"[117.82, 141.46, 164.33, 91.22, 116.48, 118.4]"
485,mrfp1,red,147.47333333333333,"[147.1, 145.31, 150.01]"
485,NNN157D,purple,125.22500000000002,"[117.6, 142.14, 164.98, 91.44, 116.76, 118.43]"
490,NNN157D,purple,125.19,"[117.25, 141.95, 165.04, 91.25, 116.78, 118.87]"
490,mrfp1,red,147.68,"[146.9, 145.59, 150.55]"
495,mrfp1,red,147.56666666666663,"[146.54, 145.64, 150.52]"
495,NNN157D,purple,125.16,"[117.48, 141.8, 164.99, 91.06, 117.31, 118.32]"
500,mrfp1,red,147.49666666666667,"[146.46, 145.69, 150.34]"
500,NNN157D,purple,124.625,"[117.24, 141.56, 164.4, 90.06, 116.66, 117.83]"
505,mrfp1,red,147.66333333333333,"[146.96, 145.76, 150.27]"
505,NNN157D,purple,125.16833333333332,"[118.06, 141.47, 165.25, 91.3, 116.66, 118.27]"
510,mrfp1,red,147.56333333333336,"[146.72, 145.76, 150.21]"
510,NNN157D,purple,124.87333333333336,"[117.49, 141.8, 164.62, 91.65, 116.08, 117.6]"
515,mrfp1,red,147.17666666666665,"[145.58, 145.82, 150.13]"
515,NNN157D,purple,125.14333333333332,"[117.95, 141.96, 164.33, 90.97, 117.31, 118.34]"
520,mrfp1,red,147.26666666666665,"[146.44, 145.94, 149.42]"
520,NNN157D,purple,125.06,"[118.22, 141.91, 164.74, 91.19, 116.71, 117.59]"
525,mrfp1,red,147.43,"[146.8, 145.42, 150.07]"
525,NNN157D,purple,125.11833333333334,"[117.71, 142.17, 164.48, 91.12, 117.43, 117.8]"
